ffprobe|mp3guessenc|mediainfo|file
UNK|LAME3.93|LAME3.93|good - no shift/KATE RYAN - Desenchantee.mp3
LAME3.98r|LAME3.98.4|LAME3.98r|good - no shift/KATE RYAN - Ella Elle L'a.mp3
UNK|LAME3.99.5|LAME3.99.5|good - no shift/KATY PERRY - Roar - Original.mp3
UNK|LAME3.99.5|LAME3.99.5|good - no shift/KELLY CLARKSON - Stronger.mp3
LAME3.97|LAME3.97|LAME3.97|good - no shift/KESHA - Take It Off.mp3
LAME3.98r|LAME3.98.2|LAME3.98r|good - no shift/KESHA - Tik Tok.mp3
LAME3.97|LAME3.97|LAME3.97|good - no shift/KON KAN - I Beg Your Pardon - Hot Tracks Mix.mp3
LAME3.99r|LAME3.99.4|LAME3.99r|good - no shift/KREWELLA - Alive.mp3
LAME3.98b|(beta)|LAME3.98b|good - no shift/KREWELLA - Can't Control Myself.mp3
UNK|LAME3.93|LAME3.93|good - no shift/LADY BORN - I Was Born This Way.mp3
LAME3.99r|LAME3.99.5|LAME3.99r|good - no shift/LADY GAGA - Applause.mp3
UNK|UNK|UNK|good - no shift/LANA DEL REY - Summertime Sadness - Cedric Gervais Remix.mp3
UNK|UNK|UNK|good - no shift/LIONEL RICHIE - All Night Long - DMC Remix.mp3
UNK|LAME3.99.5|LAME3.99.5|good - no shift/LUIS FONSI ft. DADDY YANKEE - Despacito - Dj Ácaro Remix.mp3
LAME3.98r|LAME3.98.2|LAME3.98r|good - no shift/MACKLEMORE and RYAN LEWIS - Like The Ceiling Can't Hold Us.mp3
LAME3.98r|LAME3.98.4|LAME3.98r|good - no shift/MADCON ft. RAY DALTON - Don't Worry.mp3
LAME3.98r|LAME3.98.4|LAME3.98r|good - no shift/MADONNA ft. NICKI MINAJ - Give Me All Your Luvin - Original Radio.mp3
UNK|UNK|UNK|good - no shift/MADONNA ft. NICKI MINAJ - Give Me All Your Luvin - Party Rock Remix.mp3
LAME3.98r|LAME3.98.2|LAME3.98r|good - no shift/MAGIC - Rude - Litos Diaz and G-rod Bootleg.mp3
UNK|LAME3.98.4|LAME3.98.4|good - no shift/MARC ANTHONY - Vivir Mi Vida - Dj Maksy Samba Edit 51bpm.mp3
UNK|LAME3.93|LAME3.93|good - no shift/MARC ANTHONY - Vivir Mi Vida - Original.mp3
